States,Foss,STEMScopes,AmplifyScience,Tynker,Minecraft,STEMFuse,TechTerraEdducation,AllOtherNGSSCurriculum,SAMLabs,StrawBees,Arduino,AmplifyScience,Ozobot,MakeyMakey,Dremel,BBCmicrobit,Edison,UBTech,Engino,MicrosoftHololens,ClassVR,Prusa,PiTop,KinderlabRobotics,XYZPrinting,Makeblock,Bloxels,Robo3D,HTCVive,Kano,Oculus,Glowforge,Cubelets,BirdbrainTechnology,LulzBot,BeeBots,RaspberryPi,Sparkfun,KNex,SnapCircuits,Ultimaker,Wonderworkshop,Littlebits,Sphero,ZSpace,PascoScientific,Makerbot,Pitsco,Vernier,LEGOEducation,Vex,TOTAL,StudentPopulation,PopulationDensity,DistrictCount
Georgia,$0.00,"$700,715.10","$15,000.00","$17,800.00","$17,373.58","$8,468.00",$0.00,"$2,040,000.00","$4,884.12",$996.54,"$35,543.44","$15,000.00","$31,498.68","$29,282.44","$53,738.00","$1,280.18","$2,596.43",$939.65,"$102,419.84","$4,500.00","$8,824.40","$5,729.86",$0.00,"$4,550.00","$7,392.99","$11,543.09","$18,994.64","$21,444.00","$24,742.00","$50,303.00","$11,518.00","$31,885.00","$47,623.00","$54,106.22","$22,237.00","$45,669.00","$22,868.00","$66,252.00",,"$66,437.00","$66,778.00","$76,665.00","$142,770.00","$354,384.00","$1,140,000.00","$298,760.00","$934,474.66","$1,060,000.00","$1,020,000.00","$1,930,000.00","$1,010,000.00",8838630.18,1767202,$5.00,232
Hawaii,$0.00,$446.25,$0.00,$0.00,$197.83,$0.00,$0.00,"$3,016.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,150.00",$989.00,$0.00,$0.00,$0.00,$0.00,$0.00,$52.00,"$7,995.00","$12,617.00",22803,181278,$0.13,1
Idaho,"$49,188.55","$7,899.77",$0.00,"$2,799.00","$8,374.98",$0.00,$0.00,"$410,985.00",$0.00,"$2,682.43","$26,536.61",$0.00,"$44,670.66","$2,419.02","$10,350.45",$490.00,"$6,249.24",$129.95,"$1,500.91","$6,736.99",$0.00,"$11,295.17","$1,354.35","$2,806.90","$2,406.64","$4,725.69","$3,689.45","$2,050.00",$0.00,"$3,524.00","$6,514.00","$36,777.00","$8,488.69","$7,712.00","$24,871.00",$0.00,"$22,860.00","$7,694.49","$22,604.00","$15,470.00","$21,157.00","$24,880.00","$31,529.00","$75,416.00","$217,126.00","$78,898.00","$167,114.88","$295,283.00","$462,816.00","$407,992.00","$337,143.00",2405964.52,310522,$7.75,173
Illinois,"$394,068.74","$1,648,952.85","$1,150,000.00","$149,323.69","$117,178.22","$25,789.20","$47,733.00","$8,330,000.00","$35,096.00",,"$142,116.68","$698,467.00","$96,654.35","$112,908.78","$274,095.00","$25,855.36","$11,687.65","$3,212.53","$6,523.40",$0.00,"$69,297.97","$33,178.19","$1,899.90","$49,752.92","$9,949.56",22884.82*,"$47,302.79","$3,175.00","$37,239.91","$66,229.00","$62,544.00","$100,598.00","$73,461.00","$52,080.00","$137,071.00","$104,295.00","$104,571.00","$152,584.00","$313,261.00","$155,729.00","$305,667.00","$411,617.00","$641,134.00","$723,315.00","$1,300,000.00","$2,220,000.00","$1,840,000.00","$1,760,000.00","$4,740,000.00","$3,580,000.00","$5,010,000.00",25512568.99,1982327,$12.87,1056
Indiana,$0.00,"$1,200.00","$64,650.00","$142,979.00","$20,079.41",$499.00,$0.00,"$339,584.00","$9,326.00","$1,573.48","$7,257.66","$46,650.00","$29,991.59","$18,357.57","$34,187.59",$175.85,"$2,193.00",$0.00,$92.39,$0.00,$0.00,"$6,240.00",$0.00,$0.00,"$4,417.86",$719.84,"$4,187.72","$5,237.00","$2,322.00","$1,831.00","$4,138.00","$28,014.00","$14,431.72","$11,037.00","$9,020.00","$18,746.00","$16,874.00","$9,661.00","$46,261.00","$20,227.60","$13,686.00","$42,717.00","$93,448.00","$196,709.00","$207,043.00","$214,773.00","$583,079.89","$531,638.00","$773,419.00","$585,594.00","$1,700,000.00",5295277.76,1055706,$5.02,432
Iowa,"$194,043.45","$221,254.00","$93,903.00","$14,162.50","$8,102.10","$25,910.09",$0.00,"$3,390,000.00",$0.00,"$3,936.75","$39,991.61","$93,903.20","$14,766.68","$29,728.96","$20,849.00",$676.45,"$5,729.00","$5,551.90",$738.31,"$3,000.00","$3,549.00","$23,985.04",$0.00,$0.00,"$5,501.88",854.91*,"$6,622.57",$0.00,"$7,776.60","$6,920.00","$7,851.00","$29,729.00","$19,756.00","$10,448.00","$42,025.00","$55,577.00","$11,852.00","$21,745.00","$22,143.00","$18,464.00","$11,562.00","$63,034.00","$51,874.00","$161,443.00","$28,477.00","$96,901.00","$486,684.81","$610,929.00","$1,380,000.00","$592,311.00","$1,050,000.00",5046032.76,514833,$9.80,339
Kansas,"$62,667.40","$24,839.00","$1,375.00","$1,596.00","$3,042.54",$0.00,$0.00,"$623,899.00","$1,514.00","$2,905.56","$11,836.67","$1,375.00","$21,568.79","$21,659.11","$23,333.00",$0.00,$976.00,"$4,585.14",$130.46,$34.00,$0.00,"$6,521.34",$934.80,"$4,196.60","$3,487.73",$690.96,"$5,480.08",$375.42,"$8,884.66","$4,892.00","$7,679.00","$12,874.00","$26,743.00","$14,196.00","$23,150.00","$18,370.00","$18,576.00","$4,350.00","$103,713.00","$43,226.00","$62,227.00","$110,954.00","$62,393.00","$166,277.00","$260,933.00","$76,885.00","$349,052.51","$1,470,000.00","$910,118.00","$647,441.00","$716,014.00",5230552.83,497733,$10.51,311
Kentucky,"$33,069.70","$371,686.69","$253,477.00","$13,872.00","$50,142.38","$4,198.00",$0.00,"$1,060,000.00","$1,413.00","$6,149.62","$39,046.58","$253,476.00","$41,272.13","$40,575.49","$51,189.00",$0.00,"$4,318.99","$21,529.44","$3,749.41","$3,000.00","$11,432.00","$6,235.94",$0.00,$0.00,"$10,072.22","$7,459.49","$14,301.04",$620.00,"$153,707.00","$10,065.00","$41,244.00","$23,623.00","$45,641.53","$7,779.94","$14,358.00","$36,023.00","$36,675.00","$78,630.00","$688,417.00","$78,274.00","$42,295.00","$94,192.00","$110,407.00","$109,584.00","$238,383.00","$76,362.00","$482,208.90","$560,249.00","$1,110,000.00","$1,290,000.00","$1,690,000.00",7533958.72,677821,$11.11,186
Louisiana,"$1,011.20","$11,179.11","$1,450,000.00","$1,199.99","$1,177.07","$3,500.00",$0.00,"$4,510,000.00",$0.00,$589.98,"$19,489.17","$91,715.00","$2,889.74","$6,387.46","$8,926.09",$0.00,"$2,022.96",$0.00,"$3,809.06",$0.00,"$2,194.00","$1,500.00",$783.90,"$4,860.52","$1,759.58","$3,476.70",$843.66,$79.98,$498.00,$22.56,"$3,377.00","$4,990.00","$12,269.42","$1,676.45","$26,611.00","$1,330.96","$17,854.00","$4,547.00","$103,729.00","$46,563.00","$24,990.00","$63,763.00","$35,613.00","$27,069.00","$165,217.00","$31,513.00","$124,662.16","$131,030.00","$341,977.00","$554,258.00","$400,860.00",2275748.35,711783,$3.20,204
Maine,$508.60,"$59,815.17",$0.00,$0.00,"$1,076.77",$0.00,$0.00,"$134,943.00",$0.00,$0.00,"$4,988.05",$0.00,$244.69,"$5,178.98","$4,537.60",$313.60,"$1,309.99",$0.00,$107.95,$0.00,"$4,036.00","$1,837.99",$0.00,"$1,316.70","$1,631.30",$549.95,$193.61,$0.00,"$1,898.00",$0.00,$798.00,"$4,740.00",$0.00,"$1,200.00","$2,302.00","$2,661.54","$2,427.00","$6,342.00","$4,931.00","$3,336.00","$2,961.00","$10,474.00","$14,324.00","$14,530.00",$0.00,"$77,695.00","$48,726.19","$74,005.00","$264,073.00","$193,868.00","$64,835.00",822373.14,180461,$4.56,276
